CNO,SEX,GPA,CLASS,ACCOUNTANCY,ADV/MATHS,AGRICULTURE,ARABIC,BAM,BIOLOGY,CHEMISTRY,COMMERCE,COMP/SCIENCE,DIVINITY,ECONOMICS,ENGLISH,F & HN NUTRITION,FRENCH,G/STUDIES,GEOGR,HISTORY,IS/KNOWLEDGE,KISWAHILI,PHYSICS
P0798/0540,M,1.7,CREDIT,,X,,,,,,,,,,X,,,E,D,C,,C,X
P0798/0542,M,2.3,CREDIT,,X,,,,,,,,,,C,,,E,X,C,,B,X
P0798/0543,M,-,ABS,,X,,,,,,,,,,X,,,X,X,X,,X,X
P0798/0544,M,2.0,CREDIT,,X,,,,,,,,,,X,,,D,D,C,,B,X
P0798/0545,M,-,PASS,,X,,,,,,,,,,C,,,X,X,X,,X,X
P0798/0546,M,2.7,CREDIT,,X,,,,,,,,,,X,,,D,B,B,,C,X
P0798/0547,M,-,ABS,,X,,,,,,,,,,X,,,X,X,X,,X,X
P0798/0548,M,3.0,MERIT,,X,,,,,,,,,,X,,,D,B,C,,+,X
P0798/0549,M,1.7,CREDIT,,X,,,,,,,,,,X,,,E,C,D,,C,X
P0798/0550,M,-,ABS,,X,,,,,,,,,,X,,,X,X,X,,X,X
P0798/0551,M,2.3,CREDIT,,X,,,,,,,,,,X,,,D,C,C,,B,X
P0798/0552,M,2.3,CREDIT,,X,,,,,,,,,,B,,,E,X,D,,B,X
P0798/0553,M,2.3,CREDIT,,X,,,,,,,,,,X,,,E,C,C,,B,X
P0798/0554,M,1.3,PASS,,X,,,,,,,,,,D,,,F,X,D,,C,X
P0798/0555,M,1.3,PASS,,X,,,,,,,,,,C,,,F,D,D,,X,X
P0798/0556,M,1.7,CREDIT,,X,,,,,,,,,,C,,,F,X,D,,C,X
P0798/0557,M,2.7,CREDIT,,X,,,,,,,,,,X,,,D,C,B,,B,X
P0798/0558,M,2.0,CREDIT,,X,,,,,,,,,,X,,,E,C,C,,C,X
P0798/0559,M,-,FAIL,,X,,,,,,,,,,F,,,E,X,X,,F,X
P0798/0560,M,2.7,CREDIT,,X,,,,,,,,,,X,,,D,C,C,,+,X
P0798/0561,M,2.0,CREDIT,,X,,,,,,,,,,C,,,D,X,C,,C,X
P0798/0562,M,1.7,CREDIT,,X,,,,,,,,,,C,,,E,X,D,,C,X
P0798/0563,M,-,ABS,,X,,,,,,,,,,X,,,X,X,X,,X,X
P0798/0564,M,-,ABS,,X,,,,,,,,,,X,,,X,X,X,,X,X
P0832/0501,F,1.7,CREDIT,,,,X,,,,,,,X,C,,X,E,D,X,X,C,
P0832/0502,M,2.7,CREDIT,,,,X,,,,,,,X,X,,X,F,B,B,X,C,
P0832/0503,M,1.3,PASS,,,,D,,,,,,,X,D,,X,F,D,X,X,C,
P0832/0504,M,1.0,PASS,,,,X,,,,,,,X,F,,X,F,X,X,D,C,
P0832/0505,M,1.0,PASS,,,,X,,,,,,,X,D,,X,F,D,X,X,D,
P0832/0506,M,2.7,CREDIT,,,,B,,,,,,,X,X,,X,E,X,D,B,C,
P0832/0507,M,-,ABS,,,,X,,,,,,,X,X,,X,X,X,X,X,X,
P0832/0508,M,0.7,PASS,,,,E,,,,,,,X,D,,X,F,E,X,X,D,
P0832/0509,M,2.3,CREDIT,,,,C,,,,,,,X,C,,X,E,X,X,X,B,
P0832/0510,M,2.0,CREDIT,,,,D,,,,,,,X,X,,X,E,X,C,X,B,
P0832/0511,M,1.7,CREDIT,,,,C,,,,,,,X,D,,X,F,X,X,X,C,
P0832/0512,M,1.3,PASS,,,,E,,,,,,,X,C,,X,F,X,X,X,C,
P0832/0513,M,1.0,PASS,,,,D,,,,,,,X,E,,X,F,E,X,X,C,
P0832/0514,M,3.3,MERIT,,,,X,,,,,,,X,B,,X,E,X,B,X,+,
P0904/0501,M,2.0,CREDIT,,,,,X,X,X,,,D,,B,,,F,X,D,,C,
P0904/0502,M,-,PASS,,,,,X,X,X,,,X,,X,,,F,X,X,,C,
P0904/0503,M,1.3,PASS,,,,,X,X,X,,,X,,C,,,F,X,E,,C,
P0904/0504,M,1.0,PASS,,,,,F,D,E,,,X,,X,,,E,C,X,,X,
P0936/0501,F,0.7,PASS,,X,,,X,X,X,,,,X,D,,,X,X,F,,D,X
P0936/0502,F,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0936/0503,M,0.0,FAIL,,X,,,F,E,F,,,,X,X,,,F,E,X,,X,X
P0936/0504,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0936/0505,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0936/0506,M,-,PASS,,X,,,X,X,X,,,,X,X,,,E,C,D,,X,X
P0936/0507,M,0.3,FAIL,,X,,,X,X,X,,,,X,D,,,X,E,E,,X,X
P0936/0508,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0936/0509,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0936/0510,M,1.7,CREDIT,,C,,,X,X,C,,,,X,X,,,X,X,X,,X,D
P0936/0511,M,2.3,CREDIT,,X,,,X,X,X,,,,X,B,,,E,X,D,,B,X
P0936/0512,M,1.7,CREDIT,,X,,,X,X,X,,,,X,X,,,E,C,D,,C,X
P0936/0513,M,0.0,FAIL,,F,,,X,X,E,,,,X,X,,,F,X,X,,X,E
P0938/0501,F,2.7,CREDIT,X,X,,,X,,,X,,X,X,X,,,D,B,C,,B,
P0938/0502,F,3.3,MERIT,X,X,,,X,,,X,,X,X,+,,,E,X,B,,B,
P0938/0503,F,2.7,CREDIT,X,X,,,X,,,X,,X,X,X,,,E,B,B,,C,
P0938/0504,F,-,ABS,X,X,,,X,,,X,,X,X,X,,,X,X,X,,X,
P0938/0505,F,1.7,CREDIT,X,X,,,X,,,X,,X,X,B,,,F,X,E,,C,
P0938/0506,F,-,ABS,X,X,,,X,,,X,,X,X,X,,,X,X,X,,X,
P0938/0507,F,1.7,CREDIT,X,X,,,X,,,X,,X,X,C,,,F,X,D,,C,
P0938/0508,F,3.7,DISTINCTION,X,X,,,X,,,X,,X,X,+,,,E,X,B,,+,
P0938/0509,F,2.7,CREDIT,X,X,,,X,,,X,,X,X,+,,,E,C,C,,X,
P0938/0510,F,2.3,CREDIT,X,X,,,X,,,X,,X,X,B,,,D,C,C,,X,
P0938/0511,F,3.0,MERIT,X,X,,,X,,,X,,X,X,+,,,E,X,B,,C,
P0938/0512,F,3.0,MERIT,X,X,,,X,,,X,,X,X,B,,,E,X,B,,B,
P0938/0513,F,1.0,PASS,X,X,,,X,,,X,,X,X,X,,,E,D,E,,C,
P0938/0514,F,2.0,CREDIT,X,X,,,X,,,X,,X,X,X,,,E,C,C,,C,
P0938/0515,F,3.3,MERIT,X,X,,,X,,,X,,X,X,+,,,E,X,B,,B,
P0938/0516,F,2.3,CREDIT,X,X,,,X,,,X,,X,X,B,,,E,X,D,,B,
P0938/0517,F,2.7,CREDIT,X,X,,,X,,,X,,X,X,X,,,E,C,B,,B,
P0938/0518,F,2.7,CREDIT,X,X,,,X,,,X,,X,X,B,,,E,X,C,,B,
P0938/0519,F,0.7,PASS,X,X,,,X,,,X,,X,X,X,,,F,D,F,,D,
P0938/0520,F,2.3,CREDIT,X,X,,,X,,,X,,X,X,B,,,F,X,C,,C,
P0938/0521,F,1.7,CREDIT,X,X,,,X,,,X,,X,X,X,,,F,D,C,,C,
P0938/0522,F,3.0,MERIT,X,X,,,X,,,X,,X,X,X,,,D,B,B,,B,
P0938/0523,F,2.7,CREDIT,X,X,,,X,,,X,,X,X,+,,,E,X,C,,C,
P0938/0524,F,3.3,MERIT,X,X,,,X,,,X,,X,X,+,,,D,B,C,,B,
P0938/0525,F,3.0,MERIT,X,X,,,X,,,X,,X,X,X,,,D,B,B,,B,
P0938/0526,F,2.3,CREDIT,X,X,,,X,,,X,,X,X,X,,,E,C,C,,B,
P0938/0527,F,3.7,DISTINCTION,X,X,,,X,,,X,,X,X,+,,,E,X,B,,+,
P0938/0528,F,-,PASS,X,X,,,X,,,X,,X,X,B,,,X,X,D,,X,
P0938/0529,F,-,ABS,X,X,,,X,,,X,,X,X,X,,,X,X,X,,X,
P0938/0530,F,3.7,DISTINCTION,X,X,,,X,,,X,,X,X,+,,,D,X,B,,+,
P0938/0531,F,0.3,FAIL,X,X,,,X,,,X,,X,X,E,,,F,X,E,,D,
P0938/0532,F,2.3,CREDIT,X,X,,,X,,,X,,X,X,C,,,E,X,C,,B,
P0938/0533,F,2.3,CREDIT,X,X,,,E,,,X,,X,B,X,,,E,C,C,,X,
P0938/0534,F,2.7,CREDIT,X,X,,,X,,,X,,X,X,C,,,E,X,B,,B,
P0938/0535,F,3.0,MERIT,X,X,,,X,,,X,,X,X,+,,,E,X,C,,B,
P0938/0536,F,3.0,MERIT,X,X,,,X,,,X,,X,X,X,,,E,B,B,,B,
P0938/0537,F,2.7,CREDIT,X,X,,,X,,,X,,X,X,B,,,E,X,C,,B,
P0938/0538,F,2.0,CREDIT,X,X,,,F,,,X,,X,C,X,,,E,C,C,,X,
P0938/0539,F,0.7,PASS,C,X,,,F,,,E,,X,E,X,,,F,X,X,,X,
P0938/0540,F,2.3,CREDIT,X,X,,,X,,,X,,X,X,X,,,E,C,C,,B,
P0938/0541,F,3.3,MERIT,X,X,,,X,,,X,,X,X,+,,,D,X,B,,B,
P0938/0542,F,3.3,MERIT,X,X,,,X,,,X,,X,X,+,,,E,X,C,,+,
P0938/0543,F,2.3,CREDIT,X,X,,,X,,,X,,X,X,B,,,E,X,C,,C,
P0938/0544,F,2.7,CREDIT,X,X,,,X,,,X,,X,X,B,,,E,X,C,,B,
P0938/0545,F,-,FAIL,X,X,,,X,,,X,,X,X,D,,,F,E,X,,X,
P0938/0546,F,3.3,MERIT,X,X,,,X,,,X,,B,X,+,,,D,X,B,,B,
P0938/0547,F,3.3,MERIT,X,X,,,X,,,X,,X,X,+,,,D,X,B,,B,
P0938/0548,F,3.0,MERIT,X,X,,,X,,,X,,X,X,+,,,E,X,C,,B,
P0938/0549,F,2.7,CREDIT,X,X,,,X,,,X,,X,X,B,,,D,X,C,,B,
P0938/0550,M,-,ABS,X,X,,,X,,,X,,X,X,X,,,X,X,X,,X,
P0938/0551,M,2.7,CREDIT,X,X,,,X,,,X,,X,X,+,,,E,C,C,,X,
P0938/0552,M,2.0,CREDIT,X,X,,,X,,,X,,X,X,C,,,E,X,C,,C,
P0938/0553,M,2.7,CREDIT,X,X,,,X,,,X,,X,X,B,,,E,X,C,,B,
P0938/0554,M,-,ABS,X,X,,,X,,,X,,X,X,X,,,X,X,X,,X,
P0938/0555,M,2.3,CREDIT,X,X,,,X,,,X,,X,X,X,,,E,B,C,,C,
P0938/0556,M,1.7,CREDIT,X,X,,,X,,,X,,X,X,C,,,F,X,C,,D,
P0938/0557,M,3.7,DISTINCTION,X,X,,,X,,,X,,X,X,+,,,D,X,B,,+,
P0938/0558,M,3.0,MERIT,X,X,,,X,,,X,,X,X,X,,,D,B,B,,B,
P0938/0559,M,1.7,CREDIT,X,X,,,X,,,X,,X,X,D,,,E,X,C,,C,
P0938/0560,M,2.0,CREDIT,X,X,,,X,,,X,,X,X,X,,,F,D,C,,B,
P0938/0561,M,3.0,MERIT,X,X,,,X,,,X,,X,X,B,,,D,X,B,,B,
P0938/0562,M,0.7,PASS,X,F,,,X,,,X,,X,E,X,,,E,C,X,,X,
P0938/0563,M,2.7,CREDIT,X,X,,,X,,,X,,X,X,X,,,D,B,C,,B,
P0938/0564,M,-,PASS,X,X,,,X,,,X,,X,X,C,,,F,X,D,,X,
P0938/0565,M,3.3,MERIT,X,X,,,X,,,X,,X,X,+,,,E,X,B,,B,
P0938/0566,M,2.3,CREDIT,X,X,,,X,,,X,,X,X,C,,,E,X,C,,B,
P0938/0567,M,2.7,CREDIT,X,X,,,X,,,X,,X,X,X,,,E,B,C,,B,
P0938/0568,M,1.7,CREDIT,X,X,,,X,,,X,,X,X,C,,,F,C,D,,X,
P0938/0569,M,-,PASS,X,X,,,X,,,X,,X,X,X,,,E,C,X,,C,
P0938/0570,M,0.7,PASS,X,X,,,F,,,X,,X,E,X,,,E,D,D,,X,
P0938/0571,M,0.7,PASS,X,E,,,X,,,X,,X,D,X,,,F,D,X,,X,
P0938/0572,M,-,ABS,X,X,,,X,,,X,,X,X,X,,,X,X,X,,X,
P0938/0573,M,-,FAIL,X,E,,,X,,,X,,X,X,X,,,X,X,X,,X,
P0938/0574,M,-,ABS,X,X,,,X,,,X,,X,X,X,,,X,X,X,,X,
P0938/0575,M,-,PASS,B,X,,,F,,,D,,X,X,X,,,X,X,X,,X,
P0938/0576,M,0.7,PASS,X,F,,,X,,,X,,X,E,X,,,E,C,X,,X,
P0938/0577,M,1.7,CREDIT,X,X,,,X,,,X,,X,X,X,,,E,E,C,,B,
P0938/0578,M,-,FAIL,X,X,,,X,,,X,,X,X,X,,,X,X,E,,E,
P0938/0579,M,2.7,CREDIT,X,X,,,X,,,X,,X,X,X,,,D,C,B,,B,
P0938/0580,M,-,ABS,X,X,,,X,,,X,,X,X,X,,,X,X,X,,X,
P0938/0581,M,1.0,PASS,X,X,,,X,,,X,,X,X,X,,,X,D,D,,D,
P0938/0582,M,1.0,PASS,X,F,,,X,,,X,,X,D,X,,,E,C,X,,X,
P0938/0583,M,1.0,PASS,X,F,,,X,,,X,,X,D,X,,,E,C,X,,X,
P0938/0584,M,2.3,CREDIT,X,X,,,X,,,X,,X,X,C,,,E,X,C,,B,
P0938/0585,M,3.7,DISTINCTION,X,X,,,X,,,X,,X,X,X,,,D,B,+,,+,
P0938/0586,M,2.3,CREDIT,X,X,,,X,,,X,,X,X,X,,,E,C,B,,C,
P0938/0587,M,1.3,PASS,X,X,,,X,,,X,,X,X,C,,,E,X,D,,D,
P0938/0588,M,0.7,PASS,X,X,,,X,,,X,,X,X,E,,,E,X,D,,D,
P0938/0589,M,2.3,CREDIT,X,X,,,X,,,X,,X,X,B,,,E,X,D,,B,
P0938/0590,M,2.7,CREDIT,X,X,,,X,,,X,,X,X,+,,,D,X,C,,C,
P0938/0591,M,3.3,MERIT,X,X,,,X,,,X,,X,X,+,,,D,B,B,,X,
P0938/0592,M,-,ABS,X,X,,,X,,,X,,X,X,X,,,X,X,X,,X,
P0938/0593,M,1.7,CREDIT,X,D,,,X,,,X,,X,C,X,,,E,C,X,,X,
P0938/0594,M,3.3,MERIT,X,X,,,X,,,X,,X,X,+,,,D,X,B,,B,
P0938/0595,M,0.0,FAIL,X,X,,,X,,,X,,X,E,X,,,F,E,X,,E,
P0938/0596,M,1.3,PASS,X,X,,,X,,,X,,X,X,X,,,E,D,D,,C,
P0938/0597,M,1.7,CREDIT,X,X,,,X,,,X,,X,X,C,,,F,X,D,,C,
P0938/0598,M,0.7,PASS,X,X,,,X,,,X,,X,X,X,,,F,D,E,,D,
P0938/0599,M,3.0,MERIT,X,X,,,X,,,X,,X,X,B,,,E,X,B,,B,
P0938/0600,M,2.7,CREDIT,X,X,,,X,,,X,,X,X,X,,,E,C,B,,B,
P0938/0601,M,-,FAIL,X,E,,,X,,,X,,X,X,X,,,F,X,X,,X,
P0938/0602,M,2.0,CREDIT,X,X,,,X,,,X,,X,X,X,,,E,C,C,,C,
P0938/0603,M,4.0,DISTINCTION,X,X,,,X,,,X,,X,X,A,,,D,B,+,,X,
P0938/0604,M,2.7,CREDIT,X,X,,,X,,,X,,X,X,B,,,F,X,B,,C,
P0938/0605,M,1.7,CREDIT,X,X,,,X,,,X,,X,X,C,,,E,X,D,,C,
P0938/0606,M,1.3,PASS,X,X,,,X,,,X,,X,X,D,,,F,X,D,,C,
P0938/0607,M,1.3,PASS,X,X,,,X,,,X,,X,X,D,,,F,X,D,,C,
P0938/0608,M,-,ABS,X,X,,,X,,,X,,X,X,X,,,X,X,X,,X,
P0938/0609,M,3.0,MERIT,X,X,,,X,,,X,,X,X,+,,,E,X,C,,B,
P0938/0610,M,2.3,CREDIT,X,X,,,X,,,X,,X,X,X,,,E,C,C,,B,
P0938/0611,M,2.3,CREDIT,X,X,,,X,,,X,,X,X,B,,,E,X,C,,C,
P0938/0612,M,2.0,CREDIT,X,D,,,X,,,X,,X,B,X,,,E,C,X,,X,
P0938/0613,M,2.3,CREDIT,X,X,,,X,,,X,,X,X,X,,,D,C,C,,B,
P0938/0614,M,3.0,MERIT,X,X,,,X,,,X,,X,X,+,,,D,X,C,,B,
P0938/0615,M,2.3,CREDIT,X,X,,,X,,,X,,X,X,B,,,E,X,C,,C,
P0938/0616,M,2.7,CREDIT,X,X,,,X,,,X,,X,X,B,,,E,X,C,,B,
P0938/0617,M,2.3,CREDIT,X,X,,,X,,,X,,X,X,B,,,E,C,C,,X,
P0938/0618,M,-,FAIL,X,X,,,X,,,X,,X,X,X,,,F,E,X,,X,
P0938/0619,M,0.7,PASS,X,X,,,F,,,X,,X,E,X,,,F,D,D,,X,
P0938/0620,M,1.3,PASS,X,X,,,F,,,X,,X,D,X,,,E,C,D,,X,
P0938/0621,M,3.0,MERIT,X,X,,,X,,,X,,X,X,B,,,E,B,C,,B,
P0938/0622,M,1.3,PASS,X,X,,,X,,,X,,X,X,D,,,F,X,D,,C,
P0947/0501,F,-,FAIL,,E,,,X,X,X,,,,,,,,X,X,X,,X,F
P0947/0502,F,2.3,CREDIT,,X,,,X,X,X,,,,,,,,E,C,B,,C,X
P0947/0503,M,1.0,PASS,,X,,,F,C,D,,,,,,,,F,X,X,,X,F
P0947/0504,M,-,FAIL,,X,,,X,X,X,,,,,,,,X,D,E,,X,X
P0967/0501,F,1.0,PASS,,,,,X,,,,,,X,D,,X,F,X,E,,C,
P0967/0502,F,3.3,MERIT,,,,,X,,,,,,X,+,,X,E,X,B,,B,
P0967/0503,F,1.3,PASS,,,,,X,,,,,,X,E,,X,F,X,C,,C,
P0967/0504,F,1.3,PASS,,,,,X,,,,,,X,D,,X,F,X,D,,C,
P0967/0505,F,1.7,CREDIT,,,,,X,,,,,,X,C,,X,E,D,D,,C,
P0967/0506,F,1.7,CREDIT,,,,,X,,,,,,X,C,,X,E,X,D,,C,
P0967/0507,F,2.0,CREDIT,,,,,X,,,,,,X,X,,X,E,C,C,,C,
P0967/0508,M,2.7,CREDIT,,,,,X,,,,,,X,B,,X,E,X,C,,B,
P0967/0509,M,3.3,MERIT,,,,,X,,,,,,X,+,,B,D,X,B,,B,
P0967/0510,M,1.7,CREDIT,,,,,X,,,,,,X,C,,X,F,X,D,,C,
P0967/0511,M,1.3,PASS,,,,,X,,,,,,X,C,,X,E,X,E,,C,
P0967/0512,M,2.0,CREDIT,,,,,X,,,,,,X,X,,X,E,C,C,,C,
P0967/0513,M,2.7,CREDIT,,,,,X,,,,,,X,X,,X,D,C,B,,B,
P0967/0514,M,2.0,CREDIT,,,,,X,,,,,,X,B,,X,E,X,D,,C,
P0967/0515,M,1.7,CREDIT,,,,,X,,,,,,X,C,,X,F,X,C,,D,
P0967/0516,M,-,ABS,,,,,X,,,,,,X,X,,X,X,X,X,,X,
P0967/0517,M,3.0,MERIT,,,,,X,,,,,,X,+,,X,E,X,C,,B,
P0967/0518,M,1.0,PASS,,,,,X,,,,,,X,X,,X,F,D,E,,C,
P0967/0519,M,2.3,CREDIT,,,,,X,,,,,,X,X,,X,E,D,B,,B,
P0967/0520,M,3.0,MERIT,,,,,X,,,,,,X,+,,X,E,X,B,,C,
P0967/0521,M,1.7,CREDIT,,,,,X,,,,,,X,C,,X,E,X,D,,C,
P0967/0522,M,-,ABS,,,,,X,,,,,,X,X,,X,X,X,X,,X,
P0967/0523,M,-,ABS,,,,,X,,,,,,X,X,,X,X,X,X,,X,
P0967/0524,M,2.7,CREDIT,,,,,X,,,,,,X,B,,X,E,X,C,,B,
P0967/0525,M,1.3,PASS,,,,,X,,,,,,X,X,,X,D,D,D,,C,
P0967/0526,M,0.3,FAIL,,,,,X,,,,,,X,X,,X,F,E,D,,E,
P0967/0527,M,3.0,MERIT,,,,,X,,,,,,X,B,,X,D,B,B,,X,
P0967/0528,M,1.7,CREDIT,,,,,X,,,,,,X,C,,X,E,X,D,,C,
P0967/0529,M,2.0,CREDIT,,,,,X,,,,,,X,B,,X,E,D,C,,X,
P0967/0530,M,0.7,PASS,,,,,X,,,,,,X,X,,X,F,E,D,,D,
P0967/0531,M,-,ABS,,,,,X,,,,,,X,X,,X,X,X,X,,X,
P0967/0532,M,3.0,MERIT,,,,,X,,,,,,X,B,,X,D,X,B,,B,
P0967/0533,M,-,ABS,,,,,X,,,,,,X,X,,X,X,X,X,,X,
P0967/0534,M,-,ABS,,,,,X,,,,,,X,X,,X,X,X,X,,X,
P0967/0535,M,1.7,CREDIT,,,,,X,,,,,,X,X,,X,E,E,C,,B,
P0967/0536,M,2.3,CREDIT,,,,,X,,,,,,X,C,,X,E,D,B,,C,
P0967/0537,M,3.0,MERIT,,,,,X,,,,,,X,+,,X,E,X,B,,C,
P0967/0538,M,3.3,MERIT,,,,,X,,,,,,X,X,,X,D,B,B,,+,
P0967/0539,M,2.3,CREDIT,,,,,X,,,,,,X,X,,X,E,C,B,,C,
P0967/0540,M,1.7,CREDIT,,,,,X,,,,,,X,C,,X,E,X,D,,C,
P0967/0541,M,1.7,CREDIT,,,,,X,,,,,,X,C,,X,E,X,D,,C,
P0967/0542,M,2.7,CREDIT,,,,,X,,,,,,X,B,,X,E,X,B,,C,
P0967/0543,M,1.0,PASS,,,,,X,,,,,,X,X,,X,E,D,D,,D,
P0967/0544,M,2.0,CREDIT,,,,,X,,,,,,X,C,,X,D,C,C,,X,
P1043/0501,F,2.0,CREDIT,,X,,,X,X,X,,,,X,B,,,F,X,D,,C,X
P1043/0502,F,1.7,CREDIT,,X,,,X,X,X,,,,X,C,,,F,X,D,,C,X
P1043/0503,F,1.7,CREDIT,,X,,,X,X,X,,,,X,C,,,F,D,X,,C,X
P1043/0504,F,0.7,PASS,,X,,,X,X,X,,,,X,D,,,F,X,F,,D,X
P1043/0505,F,0.3,FAIL,,X,,,X,X,X,,,,X,D,,,F,E,F,,X,X
P1043/0506,F,1.3,PASS,,X,,,X,X,X,,,,X,X,,,F,C,E,,C,X
P1043/0507,F,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P1043/0508,F,1.3,PASS,,X,,,X,X,X,,,,X,X,,,E,C,D,,D,X
P1043/0509,F,2.0,CREDIT,,X,,,X,X,X,,,,X,X,,,E,D,C,,B,X
P1043/0510,F,1.3,PASS,,X,,,X,X,X,,,,X,X,,,E,D,D,,C,X
P1043/0511,F,1.3,PASS,,X,,,X,X,X,,,,X,C,,,F,X,E,,C,X
P1043/0512,F,1.0,PASS,,X,,,X,X,X,,,,X,X,,,F,D,E,,C,X
P1043/0513,F,1.7,CREDIT,,X,,,X,X,X,,,,X,C,,,F,X,D,,C,X
P1043/0514,F,0.7,PASS,,X,,,X,X,X,,,,X,X,,,F,E,F,,C,X
P1043/0515,F,2.3,CREDIT,,X,,,X,X,X,,,,X,X,,,E,B,C,,C,X
P1043/0516,F,2.0,CREDIT,,X,,,X,X,X,,,,X,B,,,E,X,D,,C,X
P1043/0517,F,1.7,CREDIT,,X,,,X,X,X,,,,X,X,,,E,C,D,,C,X
P1043/0518,F,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P1043/0519,F,0.7,PASS,,X,,,X,X,X,,,,X,D,,,F,X,F,,D,X
P1043/0520,F,2.0,CREDIT,,X,,,X,X,X,,,,X,C,,,F,X,C,,C,X
P1043/0521,F,1.3,PASS,,X,,,X,X,X,,,,X,X,,,F,D,D,,C,X
P1043/0522,F,2.3,CREDIT,,X,,,X,X,X,,,,X,B,,,E,X,C,,C,X
P1043/0523,F,1.0,PASS,,X,,,X,X,X,,,,X,D,,,F,X,E,,C,X
P1043/0524,F,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P1043/0525,F,2.3,CREDIT,,X,,,X,X,X,,,,X,B,,,E,X,C,,C,X
P1043/0526,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P1043/0527,M,-,PASS,,X,,,X,X,X,,,,X,D,,,X,X,C,,X,X
P1043/0528,M,0.0,FAIL,,X,,,X,X,X,,,,X,E,,,E,X,E,,E,X
P1043/0529,M,1.3,PASS,,X,,,X,X,X,,,,X,X,,,F,D,D,,C,X
P1043/0530,M,-,PASS,,X,,,X,X,X,,,,X,C,,,X,C,X,,X,X
P1043/0531,M,2.3,CREDIT,,X,,,X,X,X,,,,X,B,,,E,X,C,,C,X
P1043/0532,M,2.0,CREDIT,,X,,,X,X,X,,,,X,B,,,F,X,D,,C,X
P1043/0533,M,0.7,PASS,,X,,,X,X,X,,,,X,X,,,F,E,E,,C,X
P1043/0534,M,1.7,CREDIT,,X,,,X,X,X,,,,X,C,,,E,X,D,,C,X
P1043/0535,M,1.3,PASS,,X,,,X,X,X,,,,X,X,,,F,D,D,,C,X
P1043/0536,M,1.0,PASS,,X,,,E,C,D,,,,X,X,,,E,X,X,,X,E
P1043/0537,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P1043/0538,M,-,PASS,,E,,,X,X,X,,,,X,X,,,X,C,X,,X,X
P1043/0539,M,1.7,CREDIT,,X,,,X,X,X,,,,X,X,,,E,C,D,,C,X
P1043/0540,M,2.0,CREDIT,,X,,,X,X,X,,,,X,C,,,E,X,C,,C,X
P1043/0541,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P1043/0542,M,2.0,CREDIT,,X,,,F,C,D,,,,X,X,,,E,B,X,,X,X
P1043/0543,M,2.3,CREDIT,,C,,,X,X,X,,,,C,X,,,D,B,X,,X,X
P1043/0544,M,1.7,CREDIT,,X,,,X,X,X,,,,X,X,,,F,C,D,,C,X
P1043/0545,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P1043/0546,M,1.3,PASS,,D,,,X,X,X,,,,X,X,,,E,C,X,,X,D
P1043/0547,M,1.7,CREDIT,,X,,,X,X,X,,,,X,C,,,E,X,D,,C,X
P1043/0548,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P1043/0549,M,0.7,PASS,,F,,,X,X,X,,,,E,X,,,F,C,X,,X,X
P1072/0501,F,2.0,CREDIT,,X,,,,,,,,,X,B,,,F,X,D,,C,
P1072/0502,F,3.0,MERIT,,X,,,,,,,,,X,X,,,D,B,B,,B,
P1072/0503,F,2.3,CREDIT,,X,,,,,,,,,X,X,,,E,B,C,,C,
P1072/0504,F,2.7,CREDIT,,X,,,,,,,,,X,+,,,F,X,C,,C,
P1072/0505,F,2.3,CREDIT,,X,,,,,,,,,X,B,,,E,X,D,,B,
P1072/0506,F,2.7,CREDIT,,X,,,,,,,,,X,+,,,E,X,C,,C,
P1072/0507,F,3.0,MERIT,,X,,,,,,,,,X,+,,,E,X,C,,B,
P1072/0508,F,2.0,CREDIT,,X,,,,,,,,,X,X,,,E,C,C,,C,
P1072/0509,F,-,ABS,,X,,,,,,,,,X,X,,,X,X,X,,X,
P1072/0510,F,3.3,MERIT,,X,,,,,,,,,X,+,,,D,X,B,,B,
P1072/0511,F,2.3,CREDIT,,X,,,,,,,,,X,B,,,E,C,C,,X,
P1072/0512,M,0.7,PASS,,E,,,,,,,,,D,X,,,E,D,X,,X,
P1072/0513,M,0.3,FAIL,,F,,,,,,,,,E,X,,,F,D,X,,X,
P1072/0514,M,0.0,FAIL,,X,,,,,,,,,X,E,,,F,X,F,,E,
P1072/0515,M,1.7,CREDIT,,X,,,,,,,,,X,X,,,F,C,C,,D,
P1072/0516,M,0.7,PASS,,F,,,,,,,,,D,X,,,E,D,X,,X,
